 76.750000   35.750000  -24.598
 77.000000   35.750000  -23.903
 77.250000   35.750000  -23.622
 77.500000   35.500000  -24.237
 77.500000   35.750000  -24.241
 77.750000   35.500000  -24.776
 77.750000   35.750000  -25.069
 78.000000   35.500000  -25.074
 78.000000   35.750000  -25.387
 78.250000   34.750000  -25.289
 78.250000   35.000000  -25.233
 78.250000   35.250000  -25.342
 78.250000   35.500000  -25.457
 78.250000   35.750000  -25.483
 78.500000   34.750000  -25.746
 78.500000   35.000000  -25.707
 78.500000   35.250000  -25.636
 78.500000   35.500000  -25.864
 78.500000   35.750000  -25.672
 78.750000   34.500000  -26.246
 78.750000   34.750000  -26.397
 78.750000   35.000000  -26.368
 78.750000   35.250000  -26.322
 78.750000   35.500000  -26.090
 78.750000   35.750000  -25.814
 79.000000   34.500000  -26.815
 79.000000   34.750000  -26.935
 79.000000   35.000000  -26.735
 79.000000   35.250000  -26.505
 79.000000   35.500000  -26.200
 79.000000   35.750000  -25.951
 79.250000   34.500000  -27.288
 79.250000   34.750000  -27.439
 79.250000   35.000000  -27.056
 79.250000   35.250000  -26.664
 79.250000   35.500000  -26.557
 79.250000   35.750000  -26.707
 79.500000   34.500000  -27.729
 79.500000   34.750000  -27.835
 79.500000   35.000000  -27.629
 79.500000   35.250000  -27.221
 79.500000   35.500000  -27.121
 79.500000   35.750000  -27.388
 79.750000   34.500000  -28.028
 79.750000   34.750000  -28.067
 79.750000   35.000000  -28.261
 79.750000   35.250000  -27.965
 79.750000   35.500000  -27.386
 79.750000   35.750000  -27.822
 80.000000   35.000000  -28.601
 80.000000   35.250000  -28.223
 80.000000   35.500000  -27.680
 80.000000   35.750000  -28.898
 80.250000   35.250000  -28.184
 80.250000   35.500000  -28.044
 80.250000   35.750000  -29.361
 80.500000   35.500000  -27.856
 80.500000   35.750000  -29.364
 80.750000   35.500000  -27.806
 80.750000   35.750000  -29.421
 81.000000   35.500000  -27.860
 81.000000   35.750000  -29.162
 81.250000   35.500000  -28.742
 81.250000   35.750000  -29.657
 81.500000   35.250000  -29.281
 81.500000   35.500000  -29.555
 81.500000   35.750000  -30.950
 81.750000   35.500000  -30.297
 81.750000   35.750000  -31.449
 82.000000   35.500000  -30.654
 82.000000   35.750000  -31.817
 82.250000   35.750000  -32.303
 82.500000   35.750000  -32.565
 82.750000   35.750000  -33.164
 83.000000   35.500000  -33.012
 83.000000   35.750000  -33.491
 83.250000   35.500000  -33.520
 83.250000   35.750000  -33.878
 83.500000   35.500000  -34.039
 83.500000   35.750000  -34.229
 83.750000   35.500000  -34.447
 83.750000   35.750000  -34.508
 84.000000   35.500000  -34.810
 84.000000   35.750000  -34.952
 84.250000   35.500000  -35.251
 84.250000   35.750000  -35.437
 84.500000   35.750000  -35.822
 84.750000   35.750000  -36.163
 85.000000   35.750000  -36.566
 85.500000   35.750000  -36.945
 89.500000   35.250000  -40.358
 89.750000   34.000000  -38.583
 89.750000   35.000000  -40.145
 89.750000   35.250000  -40.699
 89.750000   35.500000  -40.738
 89.750000   35.750000  -41.155
 90.000000   33.750000  -38.390
 90.000000   34.000000  -38.763
 90.000000   34.250000  -39.038
 90.000000   34.500000  -39.441
 90.000000   34.750000  -39.980
 90.000000   35.000000  -40.433
 90.000000   35.250000  -40.958
 90.000000   35.500000  -41.157
 90.000000   35.750000  -41.516
 90.250000   33.500000  -37.980
 90.250000   33.750000  -38.367
 90.250000   34.000000  -38.671
 90.250000   34.250000  -39.018
 90.250000   34.500000  -39.607
 90.250000   34.750000  -40.268
 90.250000   35.000000  -40.683
 90.250000   35.250000  -41.151
 90.250000   35.500000  -41.425
 90.250000   35.750000  -41.752
 90.500000   33.500000  -38.016
 90.500000   33.750000  -38.428
 90.500000   34.000000  -38.661
 90.500000   34.250000  -39.141
 90.500000   34.500000  -39.843
 90.500000   34.750000  -40.523
 90.500000   35.000000  -40.937
 90.500000   35.250000  -41.364
 90.500000   35.500000  -41.634
 90.500000   35.750000  -41.873
 90.750000   33.250000  -37.330
 90.750000   33.500000  -37.909
 90.750000   33.750000  -38.461
 90.750000   34.000000  -38.967
 90.750000   34.250000  -39.581
 90.750000   34.500000  -40.187
 90.750000   34.750000  -40.701
 90.750000   35.000000  -41.109
 90.750000   35.250000  -41.451
 90.750000   35.500000  -41.753
 90.750000   35.750000  -41.938
 91.000000   33.250000  -37.242
 91.000000   33.500000  -37.607
 91.000000   33.750000  -38.690
 91.000000   34.000000  -39.411
 91.000000   34.250000  -40.065
 91.000000   34.500000  -40.453
 91.000000   34.750000  -40.680
 91.000000   35.000000  -41.014
 91.000000   35.250000  -41.465
 91.000000   35.500000  -41.743
 91.000000   35.750000  -42.061
 91.250000   33.250000  -37.470
 91.250000   33.500000  -38.036
 91.250000   33.750000  -38.857
 91.250000   34.000000  -39.660
 91.250000   34.250000  -40.283
 91.250000   34.500000  -40.632
 91.250000   34.750000  -40.775
 91.250000   35.000000  -41.121
 91.250000   35.250000  -41.535
 91.250000   35.500000  -41.831
 91.250000   35.750000  -42.184
 91.500000   33.250000  -37.767
 91.500000   33.500000  -38.314
 91.500000   33.750000  -39.101
 91.500000   34.000000  -39.702
 91.500000   34.250000  -40.504
 91.500000   34.500000  -40.853
 91.500000   34.750000  -41.009
 91.500000   35.000000  -41.273
 91.500000   35.250000  -41.589
 91.500000   35.500000  -41.874
 91.500000   35.750000  -42.327
 91.750000   33.000000  -37.680
 91.750000   33.250000  -38.101
 91.750000   33.500000  -38.616
 91.750000   33.750000  -39.316
 91.750000   34.000000  -39.924
 91.750000   34.250000  -40.575
