Time,p1,p2,p3,p4
1,0.0302737591796966,-0.419765576993123,-4.98027876506918,274.427893524136
2,0.0564908005199724,-0.82382564238092,-3.52953600882607,274.333921681378
3,0.0304452891951794,-0.419836991645542,-4.85633913936003,275.394980519056
4,0.0370077051906109,-0.54033478249123,-4.32832791261567,276.359046815682
5,0.0202958606037501,-0.258394224330785,-5.29734295453408,276.218745151593
6,0.0306503904191408,-0.48206871154263,-4.22586362854951,276.808136406244
7,0.0436791416355524,-0.64995832350567,-3.73292336094534,275.666386877638
8,0.0287055158071176,-0.410227863186949,-4.40951492521966,274.169796730976
9,0.0328060428115537,-0.439870775370137,-4.38656137280092,273.146639131148
10,0.0296268756206001,-0.417077086132952,-4.37917745898504,273.038645870943
11,0.0331493667333948,-0.469215042128389,-4.30584137812566,274.004735319524
12,0.0417287552869794,-0.580384712104419,-4.297353693697,277.067613611762
13,0.035291618458154,-0.446713766332274,-5.06044149351746,277.691930277979
14,0.0491672639174994,-0.593200713071305,-4.73838487839098,275.770682611526
15,0.0301431928497724,-0.352559279794815,-5.34254074318166,275.896159905874
16,0.0745611695051574,-1.04817676176696,-2.86229120485394,276.221608033927
17,0.0296258682623368,-0.403985872578606,-4.71030729450017,276.403121800982
18,0.0428193656491169,-0.559915855212587,-4.24713743409156,275.13150977562
19,0.0451828737468165,-0.59460768240202,-4.2314681503149,274.969478042567
20,0.0402124966236988,-0.547909094188333,-4.11131075910051,273.088966492226
21,0.0443279912540439,-0.591133189708438,-4.24055121473094,275.10485177494
22,0.0496857117904899,-0.647589575863066,-4.25630785518703,275.215258882659
23,0.0360231088704668,-0.470651559105562,-4.28186600288969,271.401103841274
24,0.0372909208645236,-0.524140879474093,-4.13773104129399,272.725978797046
25,0.0529026541111676,-0.758700284339274,-3.37523201407411,273.096279391076
26,0.0452903485697184,-0.604136831935319,-3.90765685366321,271.253494678588
27,0.0505169684703389,-0.654665939662343,-3.83784677311181,271.161775053023
28,0.0289107440048198,-0.328228928955673,-5.11203247319242,273.012514627962
29,0.0389132355901293,-0.534237086165218,-4.08141503844189,272.910297959545
30,0.0386217977057333,-0.496079754035804,-4.44470938263095,273.191299992561
31,0.0349657626710249,-0.449536017724612,-4.58231122680907,273.422719919038
32,0.052130035996405,-0.705089013166308,-3.75081032323098,272.943973197851
33,0.0404333549143006,-0.5358191898172,-4.44515077730463,274.046147194304
34,0.0363717055215485,-0.476781279281405,-4.55458353523773,272.262343614255
35,0.0394151340442674,-0.481841265146946,-4.52622708037964,270.9553136808
36,0.0562796938141993,-0.735781125302338,-3.81093041606205,273.056952595113
37,0.0292271911848675,-0.359851868560196,-5.17072479655689,275.287820764587
38,0.0408506384430646,-0.576560081544699,-4.13422449374542,274.973826304246
39,0.0542770717698852,-0.719426368119763,-4.15119946586476,277.225400819123
40,0.0474028260340046,-0.624204661532961,-4.48217098300163,277.379987077646
41,0.0374766448744523,-0.480888614015852,-4.87177763292429,276.228715759573
42,0.0262324478600265,-0.337959388765155,-5.22042318892332,276.30809782301
43,0.0318749340812625,-0.455683239363291,-4.6794079863378,277.856302170474
44,0.0211032379812134,-0.337394472066936,-4.96087933375984,279.194833312423
45,0.035745736827969,-0.534153100955057,-4.0387308136789,275.613910830794
46,0.0433918971137036,-0.632888400472859,-3.90965356422277,275.657330962649
47,0.0605093427733279,-0.800790260535991,-3.85707942410708,275.258683543862
48,0.0432503046109387,-0.52534009736712,-4.87164662285967,275.377753977784
49,0.0354231435198429,-0.474566168903144,-4.721163114621,275.804822755083
50,0.0345095926034066,-0.43055783233992,-4.90569801263408,275.432515484969
51,0.0322140681788229,-0.453033425396703,-4.3898767831348,275.472258491951
52,0.0474162358439505,-0.683906146009425,-3.79822299210208,277.865310926747
53,0.0366031255101498,-0.56604984018791,-4.09258044064904,279.862793752499
54,0.0446011072874468,-0.649963551196638,-4.17603495578538,280.169449180774
55,0.0326782870791311,-0.431702065042574,-5.0220971011406,278.26739011875
56,0.0224161383734109,-0.311270360375885,-4.92556886610892,276.954468896483
57,0.0309983875209067,-0.422304056600532,-4.77459126344488,278.010686825636
58,0.0137529643007348,-0.177618494858393,-5.40593717888123,277.541027515973
59,0.0296773536729526,-0.434378049483281,-4.64235683046539,277.94406704007
60,0.0195108834202578,-0.304618570676981,-4.91247015958986,277.594589644745
61,0.0335990371821381,-0.470699399594748,-4.55279201771045,277.668120205248
62,0.0302720057129617,-0.440387365379229,-4.51613219775664,277.91005939181
63,0.0442427854704723,-0.649873258498015,-3.86498150514056,277.846987745519
64,0.02768015063456,-0.392372586373016,-4.98234709870779,278.743538973629
65,0.0325625991908963,-0.512806807564452,-4.51306959869436,280.104743435862
66,0.0342872979899137,-0.527138718468124,-4.56247082491966,280.770509130847
67,0.0451567562546209,-0.662656605276221,-4.1560515079365,279.495018524621
68,0.0456297486124979,-0.657009511084191,-4.09090482317778,278.109731613406
69,0.0496434538167128,-0.699619926226016,-4.12061277577544,278.659930812911
70,0.0486585035538246,-0.675519635010199,-4.357372712976,280.087798369884
71,0.0272341001815976,-0.382987351520337,-5.12149333672271,280.420215643966
72,0.0451223319621674,-0.755341179904533,-3.41735769881928,281.029833064117
73,0.0248477441100843,-0.466865467677458,-4.20292165575254,280.021117132568
74,0.0305111654061368,-0.498739996070516,-4.41421906105403,280.123947855796
75,0.0314898251947976,-0.492175321057567,-4.46722061189057,280.098246542826
76,0.0367031501961905,-0.584165370083704,-4.01834470688376,281.001593751467
77,0.0181226933861721,-0.296244295959227,-4.99218474385211,280.025791591217
78,0.0141273571004422,-0.224692803734163,-5.35292414010426,280.089552478385
79,0.0214777557542215,-0.357099525027603,-4.94765816385489,281.066535490377
80,0.0478033313839031,-0.763970080267408,-3.64554228784429,282.094548788716
81,0.0269751542673092,-0.441937784571426,-4.71859280486846,282.500880349307
82,0.0219380561783027,-0.344356984847164,-5.05227042520906,281.541826997495
83,0.0197729406223893,-0.307490435940933,-5.22575212724686,280.992301877865
84,0.0220507523378778,-0.347268133893123,-4.99189319793068,280.765691602236
