Time,p1,p2,p3,p4
1,0.0520778496617993,-0.76853162583112,-2.16620660413511,256.960067473856
2,0.0579028944046603,-0.787065259032088,-2.68401157074047,258.95684653605
3,0.0363817225476793,-0.457282996462078,-3.85023939680061,259.656933901304
4,0.0566012704641895,-0.866626622852572,-1.5698194657706,257.643315227342
5,0.0679849037387164,-1.00013662084792,-1.32742414946368,258.66919490362
6,0.0161303424501843,-0.10124028954734,-5.38110934902193,261.532277988409
7,0.039021637525758,-0.518630519850915,-3.17748595151746,258.552739916344
8,0.0707144923387567,-0.988901227870086,-1.64187118307358,258.637362947287
9,0.0630319475734435,-0.903501103406666,-1.61649255305691,257.592432428684
10,0.0574388192566665,-0.807811418507153,-1.89105829322382,257.203802147516
11,0.0549025597346899,-0.870072661005963,-1.20937909874125,257.798812691825
12,0.0567164272405496,-0.895231630775064,-1.31624593600431,259.427559373358
13,0.0475660730613915,-0.744107348563012,-1.75711659145546,257.961399593358
14,0.0708327521403614,-1.09539607441766,-0.479432767497577,256.581834718773
15,0.0501326863680612,-0.753976233112218,-2.05810988214108,258.885455895815
16,0.0389323614974979,-0.604455994828604,-2.62092319793766,261.27056062217
17,0.025856042457797,-0.496408382108287,-2.58633566049917,262.01359639523
18,0.0458958122366221,-0.738482825044607,-2.23133736969128,262.640374556975
19,0.059634196548563,-0.943428486247834,-1.59498995172638,262.494484579785
20,0.056248172555321,-0.859321781658423,-1.94117928865929,260.529929162002
21,0.065968953541408,-0.952240736381048,-1.94536013244022,260.732361414228
22,0.0655844604376419,-0.960938068118309,-1.87767881436705,260.795209779139
23,0.0545590882666227,-0.745736025105687,-2.64806259821771,257.947552448909
24,0.051149032624683,-0.635558662141451,-3.47432825799189,258.615005970112
25,0.0376673720799059,-0.471726600588405,-3.60806326180945,256.39313351012
26,0.07933194909867,-1.15169516712884,-0.737425765054029,255.200634518653
27,0.0700382280115687,-1.0440052740486,-1.06017946262657,256.958617234887
28,0.0623005497342041,-0.891465263360892,-1.94809381122063,258.474903866977
29,0.0483880596247534,-0.667540709236775,-2.73545582296273,258.381985906538
30,0.0373009980139626,-0.54634449820553,-2.64965516886543,256.602059465459
31,0.0456720511503166,-0.656997347920318,-2.57075090472449,258.013198570461
32,0.0436047902654362,-0.579812905248042,-3.37064611229644,260.223527399912
33,0.0433164571865822,-0.605407091006651,-3.00503608693803,259.99705319901
34,0.0615804123557687,-0.91784368409385,-1.82218662957204,260.232916026284
35,0.0554969206472042,-0.817718706352667,-2.35409132429744,261.052054304967
36,0.0593542762018833,-0.804449919051159,-2.98034462527737,263.123622791112
37,0.0495595868180942,-0.591932460681579,-4.14017105049832,264.416988251309
38,0.0489870363155875,-0.716324628803737,-2.80401230117467,263.09172944075
39,0.0475981687620112,-0.698632614991986,-2.88733055374247,264.367467279014
40,0.0423463498727573,-0.65042046293396,-2.38487944865408,261.456060842916
41,0.0553792752874882,-0.738674713371987,-2.31514217880009,258.686464223213
42,0.0611405406057089,-0.837275695417738,-1.60675865410024,256.820099168753
43,0.0572929538980078,-0.779479093974828,-1.8705688996985,257.613880794443
44,0.0741186179504598,-1.08094224698031,-0.919748122545929,259.706654470572
45,0.0718167144925409,-1.10491594717315,-0.655580037767107,259.954162481975
46,0.0360042698843283,-0.458411987103862,-3.56430339878402,260.985013246092
47,0.0413008802012333,-0.473362345313622,-3.88687706990878,260.221480679734
48,0.0534219538207784,-0.767733223809918,-2.17817473386929,258.554977148822
49,0.0584971350200758,-0.881748723711463,-1.63667902307413,259.351008864759
50,0.0245227431652826,-0.415789139090335,-2.76619904386049,259.57341455009
51,0.0490120137749077,-0.766262292359695,-1.60607726114015,259.775295479039
52,0.0540768555299363,-0.779297772229401,-2.42739568129304,263.473025718355
53,0.0413231875812736,-0.522672363471287,-3.82304964770111,264.867797441239
54,0.0308191004408462,-0.378660359906868,-4.10562062397587,263.493600320404
55,0.0444923205135843,-0.594677283827289,-3.22711850057907,263.114595313428
56,0.0474746866563298,-0.698242637832582,-2.23224623997325,260.555027809564
57,0.0482953075539748,-0.623624578819481,-2.65538726098977,258.266429110404
58,0.0149238425473562,-0.0966477381681221,-4.97023181210825,260.931642201294
59,0.0495887595593397,-0.658936875233331,-2.86610667016667,260.254480250979
60,0.0688671768017605,-0.980341761389769,-1.87700517428847,262.460202005074
61,0.0399066896996765,-0.574067464081106,-3.32227479288852,264.082437354798
62,0.0100968202885275,-0.0638458444789358,-5.64052480643485,265.466629877757
63,0.0312719880968582,-0.443111098006856,-3.82611770943643,263.610809806079
64,0.0591648912504337,-0.860235548867238,-2.28145930084204,263.284310655781
65,0.01027171053964,-0.170578824163381,-4.6207134051074,265.421455178875
66,0.031563629781477,-0.466815831321394,-3.83301457555818,266.190506259441
67,0.0621280093625115,-0.910033884664104,-1.9400668597481,262.23938000385
68,0.037433933947381,-0.521065672889368,-3.74604786538779,264.670582236275
69,0.0538896268500437,-0.803045373468233,-2.64548652900399,265.542235362555
70,0.0279148048369965,-0.416034231363905,-3.6699963925741,264.11310301608
71,0.0392297450389026,-0.486760654959249,-4.17755919702664,266.720142008462
72,0.031524769996607,-0.531661619880982,-3.00339501867581,265.131733568469
73,-0.00198212610401566,-0.0172688459643346,-4.7154719632215,264.738990294847
74,0.0401084837499623,-0.545071437820059,-3.48008720687433,264.47058691816
75,0.0443357741199863,-0.507868764891964,-4.4895978405872,265.999310638809
76,-0.0284428602117535,0.623448266968023,-8.50267721873312,266.347307714043
77,0.0348608762086262,-0.503983905332438,-3.22490839419661,262.876604297787
78,0.0303632638309056,-0.380574841193759,-4.2327488030975,264.419411371008
79,0.03499001088198,-0.460615009260318,-3.94232528169187,264.800027988689
80,0.0124715552563181,-0.12039471818226,-5.18130787280097,266.666226837966
81,0.0398581633111821,-0.429287381242251,-5.28081845551495,270.744843176045
82,0.0121275974793821,-0.0531120693161579,-6.15398001343849,269.087488985259
83,0.043963488509849,-0.534540432888011,-3.74377509064247,263.933144854595
84,0.0434424077303285,-0.551187244673527,-3.55560482939021,263.889921123318
85,0.0169992707257892,-0.103689348095398,-5.74544322800578,267.546638298811
86,0.0368129129379218,-0.540060974521647,-3.3188484386044,266.920735401692
87,0.0340758548995278,-0.337959777649394,-5.06792815657764,268.826706823755
88,0.0340000433024099,-0.319843335743109,-5.25186831860375,268.253594227342
89,0.0271773566334958,-0.220983812295582,-5.09606848240734,263.748612612723
90,0.0122643737806084,0.017069861272613,-6.37617517863004,266.593112303711
91,0.00233814148493704,0.266566708717156,-8.46136785154874,272.349496027713
92,-0.010585535053983,0.492323497013589,-9.86743693727538,275.611085681655
93,-0.000583836148889002,0.218439980796248,-8.14637581230473,274.56680767561
94,0.00315867348344589,0.152976883596434,-7.78689644330676,274.848638248102
95,0.0205362088231326,-0.150964315302876,-6.68935963663962,277.497982369732
96,0.00721759099746861,0.102620939716665,-8.04329210041637,279.209059698939
97,0.0181258362801707,-0.156962507146862,-6.40078895310916,277.427039120678
98,0.0451861946117585,-0.552205659742254,-5.15123445692424,277.440382771516
99,0.0331003762303106,-0.320742027039643,-6.2148035498793,276.95945202918
100,0.028177393142276,-0.166699748224337,-7.18978859964851,276.575897007983
101,0.031865849336445,-0.257781706955351,-6.38114880562384,273.878143612017
102,0.0160967262376867,0.0128164008566685,-7.84234965095577,276.693241872531
103,-0.00362687972950842,0.24076385859987,-8.16142048154651,276.861701382443
104,0.0265092245990281,-0.290312788704324,-5.40358019667432,272.951884980689
105,0.00664831178704061,0.010598883564158,-6.7449110428671,275.920047487479
106,-0.00835260951578842,0.313194180945824,-8.57543706538299,279.101631381522
107,-0.00423656649328758,0.16775817546273,-7.3796147740569,276.948200970232
108,0.00569675655259997,0.0581383024544092,-7.42238811902777,278.360647622974
109,0.0310946234022827,-0.4534503131397,-4.35628279575419,274.231656283759
110,0.0135241053467568,-0.196104520379335,-4.96381503229466,272.500379478431
111,0.0405171682223325,-0.587426186403022,-3.85095070290377,273.052489065387
112,0.0197565633115184,-0.179692703033716,-5.76684554807178,273.527968529224
113,0.0219829770649565,-0.17369177595172,-5.8194811333932,272.305253279305
114,0.00878253785246503,0.147779896436072,-7.84271494208314,273.76221769717
115,-0.00715846155977866,0.263881187418168,-7.60580567756055,273.95537588075
116,0.0251870300013605,-0.15738512696693,-6.98614667781921,276.978277341182
117,-0.00273088681980592,0.281067355512415,-8.65227716601476,278.280452098916
118,0.0132347839516753,-0.133653685520443,-6.20402431111266,278.792993166085
119,0.00369299565404118,-0.00964407609049153,-6.9118063928135,282.614358816305
120,-0.00293219802170021,0.143052398975557,-7.99784120221897,285.054101570142
121,-0.0153370295822221,0.358079916379444,-8.27571717939737,280.53062449614
122,0.0193438577015375,-0.218435516805311,-5.39170610035465,275.687432053061
123,0.0229845442909567,-0.227869063832271,-6.18724186250824,279.802673018321
124,-0.0305916729321155,0.611886463891666,-9.38362221448899,281.202665521093
125,0.0109685243710994,-0.049924384647475,-6.95628025744018,282.000378403425
126,-0.0191118342123724,0.432305097981568,-8.40740548261947,280.595624378388
127,0.0263821553204389,-0.295545780879215,-5.55695869237192,279.409266431737
128,0.027495811816576,-0.316406733494519,-5.49210094227136,278.260266350157
129,-0.00211405264486436,0.275911176479144,-8.89265053589341,282.347835528578
130,0.0180756561798971,-0.0897000691250156,-7.30725068439138,282.34822247554
131,0.00921090044701623,0.184510399275522,-9.17780010325795,283.990294036485
132,-0.0166113638368688,0.422789125240553,-8.45908620620713,278.703147849916
133,0.0223781481978064,-0.188849999661083,-6.24974870871604,278.594005646447
134,0.0376783355425745,-0.413267682859968,-5.76187245331625,280.109182742111
135,0.0380382901743441,-0.410627143202252,-6.26073314393648,283.169789179851
