Time,p1,p2,p3,p4
1,0.0332091004996601,-0.506352822041781,-3.7249038701429,266.894475925849
2,0.0462038809775694,-0.697598498377055,-3.26498450868448,268.407659085856
3,0.0503972039044549,-0.847734226044435,-1.70208584408578,265.260886149924
4,0.0649161589691914,-1.10254819249467,-0.417023340365278,263.500259309664
5,0.0572517874708307,-0.972099505937293,-0.718985809722215,262.891079701087
6,0.0442601386453798,-0.797527812605986,-1.07870209746867,261.902525375354
7,0.054120408500018,-0.945673026358063,-0.506497299786536,260.958928991692
8,0.0564667816847601,-0.87361307883099,-1.63173408733323,263.314585659707
9,0.0560215290657873,-0.800380295277708,-2.41705387676078,264.801042297339
10,0.0555087293490048,-0.849781894879433,-1.90921959967831,264.247778794297
11,0.042384696271562,-0.628214099607355,-3.00688401520345,266.58431297894
12,0.0251052441625566,-0.419706921084817,-3.48583530168271,267.455941663673
13,0.0214803395296647,-0.400261834238142,-3.48320818981731,268.314079718179
14,0.0719642692030621,-1.07685371282462,-1.95124182148547,270.331197975062
15,0.079143392028737,-1.27363372139341,-0.387899578324246,266.798697867187
16,0.0657488325450772,-1.03842961112256,-1.21824218296897,265.734614835713
17,0.0413572507489998,-0.621874296555445,-2.96096536886478,267.256651178028
18,0.055558840268071,-0.851159810420694,-1.99287707917161,266.480442177837
19,0.0549096402549689,-0.826146305075873,-2.30803386562757,266.751029129958
20,0.0466850935074817,-0.574385356748721,-4.30820941712485,269.90598872457
21,0.0515812499039767,-0.701169399976401,-3.38674339706327,268.538946571941
22,0.0529602728345021,-0.702484804622796,-3.4842007267018,267.634663950525
23,0.0164804786925164,-0.145648956145894,-5.25088767691055,265.479261064839
24,0.0409479486531542,-0.626385360934161,-2.96401549062484,265.332072727672
25,0.0608386595665611,-0.871294929408741,-2.51016241371048,265.940232211501
26,0.0642783803851687,-0.803428107680736,-3.44268655253738,266.442906281779
27,0.0542205966203824,-0.651024806436849,-4.11402121765721,267.847814805855
28,0.0576614641329197,-0.798593047872112,-3.00370578126611,267.667642654879
29,0.0478220155016038,-0.680927583273241,-3.04424435341129,266.665629481823
30,0.0680824229604529,-0.93691027793845,-2.61065810731672,267.163757866051
31,0.066447824461452,-0.961843877617449,-2.28256738646124,266.706596807334
32,0.0721686867933628,-1.09124515758521,-1.42844922823702,265.644873320513
33,0.0538460872727783,-0.785530233321253,-2.83693758625758,267.312148373881
34,0.0619435700298782,-0.882036325845212,-2.74303385617609,267.512261000603
35,0.0743709367869978,-1.03388375638717,-2.2555102366553,267.15619595878
36,0.0306770767147887,-0.321044127342325,-5.19969953309987,269.37585704392
37,0.0192871398852791,-0.338488078997411,-3.72927107776887,267.018183279431
38,0.0460961119928387,-0.721266320461827,-2.66573240374032,268.227539509283
39,0.0378154048877535,-0.61152544251384,-2.85921124702278,268.111311728723
40,0.0530233791916659,-0.719962628391448,-3.66026740485191,271.628722213118
41,0.0281281305164518,-0.317255513559144,-5.40695351523903,273.224215679395
42,0.0401341093655677,-0.523415758992282,-4.45550876659572,272.889283015487
43,0.0346404109431618,-0.403921756374952,-5.35130139143995,275.709195976299
44,0.0248582914132084,-0.381294603755661,-4.15185389941241,271.354034767702
45,0.0620857764430741,-0.884183560116602,-2.64106144866362,269.575254354933
46,0.0711876589571305,-0.939676395637537,-3.00076681826428,269.547435292602
47,0.0403163189807787,-0.422464793306747,-5.12012589652625,269.730951079032
48,0.0549443101690408,-0.78169264236848,-2.95155186830008,268.117928829218
49,0.0465254885624337,-0.701710750354671,-2.80042160911674,267.881519308907
50,0.0235404157476229,-0.333716987305143,-4.24890005027462,269.421954596613
51,0.0371905107609648,-0.536312938438945,-3.86411227109364,272.049345181414
52,0.0512907191025651,-0.731045312537369,-3.4146112970751,272.993633274493
53,0.0397190750868677,-0.654876336610535,-2.83495850342059,270.713672484849
54,0.0262636419864901,-0.416264761251622,-4.11655378156698,272.194149441189
55,0.0346879265734032,-0.54190443314164,-3.5741424413813,271.165608660124
56,0.0407216822903715,-0.567725109982957,-3.77775943920379,271.449423014845
57,0.0232982701832345,-0.359465753567383,-3.95282763798944,269.439223772238
58,0.0369109938633479,-0.548771835771005,-3.41600961941178,270.307504374005
59,0.0197224167560109,-0.314286121978629,-4.22200651036971,270.975799835074
60,0.0332815049840638,-0.517756198341143,-3.54126575957374,270.898489681366
61,0.0397841707876334,-0.532779968537143,-4.34107959853867,273.965997370209
62,0.0499897593677288,-0.64615319060817,-4.3595316892836,275.122192559271
63,0.0377608366882521,-0.461782626352,-5.01435601861279,275.128636290439
64,0.0128266297118648,-0.176772019528397,-5.41648598612411,274.666847168871
65,0.010464547089591,-0.245771288527076,-4.39563406019306,272.655410095963
66,0.0211448243998159,-0.382587144309383,-4.07828868298108,272.797971774049
67,0.0240526716572803,-0.303777494222369,-5.38215612027451,275.450675806086
68,0.0242916529903427,-0.344481253357072,-4.75532490563036,273.190568522173
69,0.0207004344890041,-0.26537426716798,-5.12531737403659,273.005130175045
70,0.0205519067036149,-0.354507137080312,-4.18530972441144,272.819035801676
71,0.0269490203858878,-0.414125624255633,-4.54659216672094,276.568841158163
72,-0.0101438524953089,0.056658725986599,-5.45608950083331,275.242323019497
73,0.0101739729851857,-0.207980202961177,-5.00239315112501,276.298767903056
74,0.014237777085401,-0.206506365026939,-5.4958437502624,276.881462898556
75,0.031760187347665,-0.452770092242937,-4.56096122227579,276.458946946586
76,0.0166738171706166,-0.257049990781778,-4.86928510363784,276.175350800014
77,0.0153302659667639,-0.203718315384252,-5.40336203236211,276.449912936796
78,0.0290889914531567,-0.5109232054848,-3.6271783975937,274.026539240435
79,0.0344324639888359,-0.620213300150678,-3.02047946367432,273.573823242961
80,0.0236132724456344,-0.390773723728164,-4.35805911716599,275.270046850273
81,0.00194098673638987,-0.0818373346091448,-5.3967174751779,276.147272004116
82,0.0181780499976862,-0.310921543077568,-4.78096237898565,277.013776623373
83,0.0283461063546772,-0.315489868550936,-5.88704660858247,278.864868397498
84,0.0238286774586912,-0.369897522771788,-4.55928346068149,276.216490766472
85,0.0173389978361915,-0.378987744892792,-3.72111127388535,275.692352036216
86,0.0131757426288442,-0.268154965705361,-4.38494020890259,276.361802453981
87,0.00642069992142415,-0.16180526908357,-4.62888212483466,275.403628362821
88,0.0156646896543959,-0.242973695415565,-4.89468663641818,275.706646556759
89,0.0477640689062608,-0.530442838468059,-5.42280248289227,277.386497518321
90,0.0399310774252887,-0.542485075818333,-4.16842873782022,274.218349147172
91,0.0340568404643484,-0.482272920350661,-4.32789410382986,275.116239937959
92,0.027424846525831,-0.349575455877851,-4.96087438613432,275.21634223932
93,0.0360282786355642,-0.503142836202431,-4.34889850540844,275.456990927488
94,0.0486420292457857,-0.784617611486751,-3.01913516797037,276.400200373582
95,0.0372080606962618,-0.530251846015492,-4.63431009590037,279.631819093855
96,0.0337241974443049,-0.487357054791488,-4.79490317157613,279.867489372831
97,0.0114862186884177,-0.181493188299694,-5.6172482654752,279.158884785156
98,0.0184721620340164,-0.289092809827786,-5.25409896900971,279.39295656349
99,0.0279142711921906,-0.379817741057881,-5.45284091935494,281.182016897644
100,0.0137901317666346,-0.115669373441332,-6.94145004342721,283.527756270022
101,0.0238084538792661,-0.32475511312949,-5.74522200866535,282.564722481645
102,0.00297331688159817,-0.102687852909808,-5.65229860065554,280.276214354575
103,0.00621641047006481,-0.187418603215219,-5.09476701810321,279.809750808723
104,0.0111911445070355,-0.252865899512394,-4.95070928493505,280.210106593942
105,-0.00287900464404118,-0.0316876792021494,-5.72050727234224,280.244574233083
106,0.0104483711692525,-0.236401920699245,-4.91963551920827,279.309223779786
107,0.0269360492294926,-0.411412719187407,-4.87746460381993,280.469573142227
108,0.0145875028650208,-0.273294894333399,-5.07164200790536,280.500996220608
109,0.000959071718938479,-0.0364291507517197,-6.21803419546078,281.847427202456
110,0.00343570400216499,-0.0629276806171312,-6.20370345349705,282.130929919536
111,0.00655522834597512,-0.146193973997922,-5.46085738783478,279.715431978217
112,0.0189102080507222,-0.22761202396788,-5.85270477699106,280.613167775162
113,0.0375751274152091,-0.449216514221811,-5.72124282644165,282.483917434293
114,0.00843991070270071,-0.136211909065771,-6.02140291998499,281.836943015463
115,0.0170173717405526,-0.217528818949919,-6.18944224986221,283.684827034644
116,0.0176858880372177,-0.221247459057027,-6.14191645395631,283.057588200331
117,0.0253177298422734,-0.397917006608991,-5.15327042157988,282.979831370309
118,0.0506401407894228,-0.671481153434187,-5.22960087317303,286.434885692879
119,0.0528786586249674,-0.685969018471474,-5.2753774109407,287.241587938348
120,0.00697547507185617,-0.144044974471536,-5.71410274793768,283.566720861214
121,-0.0197490619057016,0.250368249656653,-7.09384956955499,284.03615433369
122,0.012575722572847,-0.284516754147881,-4.81255404953157,283.15051373055
123,0.0136225695744719,-0.285837277259317,-4.76165594898399,282.842062078451
